steering_angle,throttle,brake,distance_to_object,position_x,position_y,position_z,rotation_yaw,rotation_pitch,rotation_roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lidar_mean_distance,radar_mean_distance,radar_mean_velocity,depth_mean,speed_kmh
0,0,0,1.185684681,21.63059235,140.9727173,-0.031511076,0.320448458,0,0,0,0,9.371385574,-1.36E-07,7.70E-07,4.01E-11,14.28573322,9.31673104,-0.003603624,13.570484,0.725485718
-0.000175733,0.850000024,0,1.185684681,21.63059235,140.9727173,-0.015778694,0.320448458,0,0,0,0,9.013965607,8.96E-07,6.38E-07,-2.42E-11,12.97933483,19.87999509,-0.004136105,12.415323,0.440960231
0,0.850000024,0,1.185684681,21.63059235,140.9727173,-0.006910896,0.320448458,0,0,0,0,9.250826836,-1.14E-06,2.23E-07,-1.56E-11,11.88919735,1.737006873,-0.001176146,13.10948,0.234545204
0,0.850000024,0,1.185688376,21.63059235,140.9727173,-0.002372169,0.320448458,0,0,0,0,9.493258476,-5.53E-07,2.90E-08,-2.89E-11,11.86436653,10.80888745,-0.000839209,13.628197,0.116171421
0,0.850000024,0,1.185684681,21.63059235,140.9727173,-0.000176239,0.320448458,0,0,0,0,9.64744854,6.36E-07,-2.45E-07,6.96E-12,11.46169472,9.682620478,-0.000458753,13.784329,0.055029555
0,0.850000024,0,0.001591279,21.63698006,140.9727478,0.000799942,0.320177227,0.008162076,-6.10E-05,2.555802345,0.000735962,9.711857796,4.71E-07,-0.007328767,-8.00E-05,2.409100533,1.867269673,-0.097890756,13.732445,1.303006739
0,0.850000024,0,0.001764659,21.76155281,140.9734497,0.000886612,0.320072323,0.072673209,-6.10E-05,13.6957283,-0.001428621,9.765628815,2.02E-08,-0.009294982,1.85E-05,2.388508797,4.629874617,-1.321055936,13.667385,6.580284058
0,0.850000024,0,0.001886682,21.99290276,140.9747467,0.000948181,0.320722729,0.097405322,-6.10E-05,8.510543823,-0.002535205,9.801558495,6.28E-06,-0.001713606,0.001132511,2.718179226,3.235201023,-2.131327926,13.642199,9.665363385
-0.000175733,0.850000024,0,0.002051668,22.30134773,140.9765167,0.001031647,0.32152468,0.098600604,-6.10E-05,7.224423885,-0.010435896,9.796209335,-4.48E-05,0.000517047,-0.000149961,2.333667994,3.45502493,-2.89930187,13.720847,12.25017449
-0.00061556,0.850000024,0,0.002207696,22.67613792,140.9785767,0.001107521,0.319585681,0.092323661,0.000119899,6.140842438,-0.009184885,9.799309731,-5.21E-05,0.001354587,-0.000831404,2.657516003,1.547695568,-3.279266071,13.89768,14.47244392
-0.000175733,0.850000024,0,0.002333092,23.10950089,140.9810486,0.001169586,0.321570665,0.08464653,-9.16E-05,5.661466599,0.003322376,9.799739838,-4.75E-05,0.001252461,-0.000100731,3.113298178,0.548434484,-3.391022902,14.128779,16.51249022
0,0.850000024,0,0.002679595,23.59826279,140.9837799,0.001342735,0.321406633,0.078349099,-6.10E-05,5.463532925,-0.005562079,9.852907181,-1.39E-06,0.001051981,-9.45E-06,2.471740007,4.427804312,-4.312773946,14.487059,18.47605375
0.000175733,0.850000024,0,0.003239041,24.13118553,140.9866943,0.001626091,0.318078995,0.063998871,3.32E-05,1.762285113,0.015271889,9.778284073,6.11E-05,0.004038474,-7.95E-05,2.453426838,3.163224581,-4.443551199,14.839229,19.4524413
0,0.850000024,0,0.003350755,24.68285751,140.9897461,0.00167881,0.317855537,0.048774377,-6.10E-05,2.840874195,-0.000703374,9.789610863,3.42E-06,0.000909637,-7.20E-05,2.621999741,2.571472065,-4.644476476,14.939172,20.38924221
0,0.850000024,0,0.003249446,25.27022171,140.9930267,0.00162838,0.317956537,0.048665095,-6.10E-05,4.379023075,0.000755881,9.80112648,1.60E-06,-0.000948499,0.000592036,4.088989258,3.057813487,-5.013914614,14.964735,21.89990659
0,0.850000024,0,0.003117303,25.90453529,140.9965515,0.001562881,0.316234201,0.054183889,-6.10E-05,5.143736839,0.001671831,9.804850578,-2.69E-05,-0.001380587,-0.006239614,3.179373741,4.765580813,-5.57625802,15.003481,23.70343793
0,0.850000024,0,0.002999688,26.59231949,141.0003357,0.001503906,0.32058847,0.061137021,-9.16E-05,5.834094048,-0.037569858,9.802865028,9.06E-05,-0.001929789,0.01492902,3.886407375,1.673778777,-5.223773734,15.027455,25.77146769
