steering_angle,throttle,brake,distance_to_object,position_x,position_y,position_z,rotation_yaw,rotation_pitch,rotation_roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lidar_mean_distance,radar_mean_distance,radar_mean_velocity,depth_mean,speed_kmh
0,0,0,0.586884797,-64.68408966,-91.49115753,-0.006552754,-179.9136963,0,0,0,0,9.460146904,-1.07E-07,-1.52E-07,-3.46E-11,4.511036873,10.66881393,-0.00102726,13.789759,0.205232777
0,0.850000024,0,0.597706795,-64.68408966,-91.49115753,-0.001140118,-179.9136963,0,0,0,0,9.611056328,-2.98E-07,2.63E-07,-3.61E-11,5.230922222,7.425625512,0.001353403,13.748221,0.078583829
0,0.850000024,0,0.001575156,-64.68408966,-91.49115753,0.00079134,-179.9136963,0,0,0,0,9.733187675,1.82E-07,9.28E-09,3.41E-11,3.172668219,2.579574678,0.000487744,13.765306,0.026221138
0,0.850000024,0,0.00282087,-64.68408966,-91.49115753,0.001413097,-179.9136963,0,0,0,0,9.784274101,-2.41E-07,1.09E-07,-3.25E-12,2.832066774,1.070556427,0.000231748,13.76769,0.008128166
0,0.850000024,0,0.0023356,-64.817276,-91.4913559,0.001172428,-179.9140778,0.073267438,-6.10E-05,13.50255299,-0.000215072,9.79696846,-2.82E-06,-0.008117775,-0.000184457,3.252868891,1.447802703,-1.40871904,13.775523,6.520706381
0,0.850000024,0,0.002138769,-65.19604492,-91.49192047,0.001074734,-179.9142151,0.099242643,-6.10E-05,7.517012119,0.003781809,9.807691574,-1.76E-08,-0.000143322,-3.99E-06,2.594982624,2.894493921,-2.099438339,13.817611,11.01722152
0,0.850000024,0,0.002259038,-65.73453522,-91.49272919,0.001133099,-179.9142761,0.09194117,-6.10E-05,6.123238564,-0.004126849,9.801850319,5.92E-07,0.001343519,-6.02E-06,2.140641451,2.909737449,-3.398496021,13.903526,14.47971859
-0.000175733,0.850000024,0,0.002395126,-66.40571594,-91.49380493,0.001200924,-179.9119873,0.081108496,-9.16E-05,5.543881416,-0.003478488,9.801048279,-5.54E-05,0.001068158,-0.000110652,2.566375732,1.915120487,-3.712018865,14.025358,17.50561839
0,0.850000024,0,0.003247832,-67.19002533,-91.49497986,0.001628056,-179.9121552,0.06390325,-6.10E-05,1.763408303,-0.000176015,9.778468132,1.73E-06,0.004028366,-1.05E-05,3.38265276,1.588156051,-4.400041743,14.177121,19.45686835
0,0.850000024,0,0.003315646,-68.03011322,-91.49628448,0.001660747,-179.9121704,0.047251247,-6.10E-05,3.548077106,-0.005415226,9.798044205,1.04E-06,0.000316923,1.88E-05,2.242776632,0.873820346,-4.638035917,14.618519,21.01591602
-0.00061556,0.850000024,0,0.003118876,-68.96372223,-91.49768066,0.001563396,-179.9138184,0.054122414,0.000140263,5.134243965,-0.017732926,9.805109024,-6.81E-05,-0.001345669,0.000735413,3.314485073,1.22674781,-5.485892473,15.083327,23.701885
0,0.850000024,0,0.002970041,-70.014328,-91.49925232,0.001490192,-179.9212494,0.062571362,-3.05E-05,5.50321722,-4.41E-05,9.805934906,3.76E-05,-0.000542222,-0.003270422,3.163261175,1.20029145,-5.355360077,15.464216,26.5688925
0,0.551234305,0,0.002898405,-71.19063568,-91.50095367,0.001454487,-179.9172058,0.067188568,-3.05E-05,5.451521873,0.009644754,9.805628777,-4.23E-05,-5.21E-05,-0.006438504,2.816266537,1.878182528,-6.87374497,15.778402,29.583944
0.00061556,0,0.184169352,0.003154221,-72.45013428,-91.50283813,0.001584873,-179.9143066,0.044416718,-0.000244141,0.112631686,0.012384781,9.820566177,6.96E-05,0.004802876,0.001006649,2.304409027,0.529865531,-6.909992797,16.71722,30.29872684
0,0.138665169,0,0.003593202,-73.69286346,-91.50475311,0.001802196,-179.9127655,0.00721951,-9.16E-05,-2.113757849,0.005735838,9.805521011,-2.02E-06,0.003244682,2.74E-05,2.163995743,0.565211125,-7.202117263,16.938824,29.32807466
0,0.552137971,0,0.003798888,-74.89043427,-91.50656891,0.001902981,-179.9126434,-0.010006227,-6.10E-05,-1.381722808,-0.00538548,9.803350449,2.16E-07,0.000805094,5.94E-06,2.558032274,0.524433111,-5.927024613,17.110142,28.37903685
0,0.620880008,0,0.00371444,-76.07667542,-91.5083313,0.001859493,-179.9126434,-0.002588642,-6.10E-05,1.017054558,-0.001540922,9.805865288,1.53E-06,-0.001872699,-2.16E-06,2.610554457,0.503404503,-5.851262664,17.339151,28.71679992
0,0.317547351,0,0.003590751,-77.28759003,-91.5102005,0.001799602,-179.9126587,0.00758151,-6.10E-05,1.00130105,0.000986242,9.814216614,2.92E-07,-0.000213437,-1.95E-06,2.862031221,0.553370188,-6.467946222,17.358288,29.29809923
0,0.26023823,0,0.003631564,-78.5114212,-91.51210785,0.001818142,-179.9126587,0.004425962,-6.10E-05,-0.266745508,-0.002081819,9.81179142,4.86E-07,0.000615144,9.77E-09,2.645603895,0.550121068,-6.593778211,17.311054,29.3301141
0,0.369032174,0,0.003712498,-79.72390747,-91.5140152,0.001860104,-179.9126434,-0.002745736,-6.10E-05,-0.730473101,-0.001376527,9.809171677,1.82E-07,0.000818817,1.83E-06,2.394128799,0.746986971,-6.777270869,17.294966,28.90692025
0,0.479115874,0,0.00371494,-80.92645264,-91.51586914,0.001860371,-179.9126434,-0.002779887,-6.10E-05,0.062028375,0.002415152,9.807470322,-5.51E-07,-0.000649456,-1.86E-08,2.743531704,0.693133352,-7.169304738,17.411207,28.88464545
0.00061556,0.396243662,0,0.003667669,-82.13260651,-91.51765442,0.001838131,-179.9140015,0.001031358,-0.000244141,0.3351987,0.014539005,9.811215401,7.88E-05,-0.000111046,0.000956966,2.799053192,0.216756072,-7.491486557,17.599194,29.01450618
0,0.359211832,0,0.003652983,-83.34580231,-91.51954651,0.001830883,-179.912735,0.002253962,-9.16E-05,0.16288954,0.002268163,9.810497284,-2.43E-06,-0.000170022,1.62E-05,2.285291672,0.640461406,-7.076409962,17.842182,29.17118295
0,0.149857149,0,0.003707311,-84.55581665,-91.52145386,0.001854839,-179.9126434,-0.001830491,-6.10E-05,-0.775308847,0.003692082,9.812508583,-7.58E-07,0.001117251,3.18E-06,2.945730925,0.319128562,-6.581331994,18.128101,28.83739733
0,0.19555743,0,0.003807108,-85.74253082,-91.52322388,0.001904125,-179.9125671,-0.010258944,-6.10E-05,-1.516753554,0.002321974,9.808722496,-2.84E-07,0.000635475,3.10E-06,2.599596262,0.444425189,-6.515347382,18.45408,28.12362851
0,0.283760309,0,0.003868377,-86.89377594,-91.52497864,0.001935978,-179.9125671,-0.015654793,-6.10E-05,-1.520178318,0.002325969,9.80859375,-4.76E-07,0.000575224,4.11E-06,2.384157896,0.436916162,-6.523517557,18.882338,27.2316355
-0.00061556,0.345635116,0,0.003846389,-88.016922,-91.52667999,0.001928005,-179.9144745,-0.014281925,0.000133031,-0.829973996,-0.018787509,9.807947159,-7.47E-05,-0.00070058,-0.001016165,2.404978991,1.059529428,-5.785701583,19.292814,26.75782311
0.000175733,0.249964178,0,0.003814409,-89.12154388,-91.5282135,0.001912212,-179.9192963,-0.01159766,4.63E-05,-0.806981325,0.003625785,9.811225891,5.52E-05,0.000123138,-0.000176477,2.296350479,1.767679169,-6.034620127,19.557966,26.2912441
0,0.241615951,0,0.003813442,-90.20779419,-91.52967834,0.001910267,-179.9197083,-0.011174189,-3.05E-05,-0.934411407,0.001311942,9.809650421,2.99E-07,-0.000218344,-1.05E-05,2.062469006,0.520031087,-5.426538246,19.90183,25.85223729
0.000439827,0.232647657,0,0.003830256,-91.26987457,-91.53128052,0.001920032,-179.9149323,-0.012943208,-0.000335693,-1.229688168,0.019379696,9.810440063,7.61E-06,0.000510217,0.001034155,2.596385956,0.51049289,-5.578723917,20.144587,25.16809697
-0.00061556,0.301186621,0,0.003834421,-92.30716705,-91.53282928,0.001920757,-179.9152527,-0.013059321,0.000113508,-0.93976444,-0.018632818,9.808382988,-7.49E-05,-0.000433956,-0.000945172,2.510731936,1.696174328,-5.287586111,20.219576,24.6730224
0,0.25744012,0,0.00382414,-93.32286072,-91.5342865,0.001915264,-179.916687,-0.012150906,-6.10E-05,-0.93207866,0.001362667,9.81067276,2.94E-06,0.000219626,-1.80E-05,2.396185398,0.513054792,-5.360309508,20.252516,24.12630066
0,0.270897359,0,0.003812879,-94.31962585,-91.53575897,0.001909275,-179.9167023,-0.011112717,-6.10E-05,-0.786901116,0.001151649,9.809252739,1.11E-06,-0.000409465,2.35E-07,2.414549112,3.252429242,-5.473727998,20.295193,23.73972577
0,0.227849588,0,0.003814362,-95.29615021,-91.53722382,0.001911182,-179.916687,-0.011447396,-6.10E-05,-1.019458055,0.001489891,9.810865402,-4.27E-07,0.000422709,2.60E-06,2.340690136,1.76543164,-5.120130912,20.293861,23.16426989
0,0.282995313,0,0.003814515,-96.25162506,-91.53860474,0.001911488,-179.916687,-0.011467887,-6.10E-05,-0.846970737,-0.003760919,9.80876255,1.50E-06,-0.000382323,1.89E-06,2.852597713,2.603338646,-5.304733925,20.282167,22.73184585
0,0.246510729,0,0.003818625,-97.18649292,-91.53990936,0.001910725,-179.916687,-0.011324453,-6.10E-05,-0.939441144,-0.001126426,9.810608864,-1.15E-06,0.000320476,2.21E-06,2.39659667,1.67454326,-4.857523519,20.214405,22.18489266
0,0.281098962,0,0.003808148,-98.10272217,-91.54122925,0.001906223,-179.9166412,-0.010593623,-6.10E-05,-0.7368083,0.003579746,9.809009552,-2.98E-07,-0.000443319,1.61E-06,2.542341232,3.511639244,-5.401130443,20.126926,21.82061654
0,0.22907351,0,0.003800189,-99.00035858,-91.54254913,0.001905918,-179.916626,-0.010532151,-6.10E-05,-0.914297938,0.003838198,9.810839653,-1.06E-06,0.000386255,2.41E-06,2.475667715,0.317379866,-5.013244519,19.999882,21.29699901
0,0.279331028,0,0.003807628,-99.87940216,-91.54390717,0.00190485,-179.9136963,-0.010347736,-9.16E-05,-0.761777997,-0.003839601,9.80899334,-1.06E-05,-0.000398783,4.17E-05,2.294024467,2.896871291,-4.489175829,20.101831,20.92342758
0,0.236672223,0,0.003802384,-100.739624,-91.54521942,0.001905155,-179.913559,-0.010409208,-6.10E-05,-0.891784728,-0.001146898,9.810738564,-2.00E-07,0.000370514,4.36E-06,2.801274538,2.057474835,-4.161656939,20.157352,20.40458884
0,0.284274668,0,0.003797353,-101.5822601,-91.54653931,0.001901951,-179.913559,-0.009855962,-6.10E-05,-0.689183056,0.003547604,9.808905602,-3.34E-07,-0.000445778,1.31E-06,2.392022848,0.329006609,-4.598700384,20.12404,20.06801543
0,0.228399307,0,0.003797149,-102.407547,-91.5477829,0.001901493,-179.9135437,-0.00976717,-6.10E-05,-0.839186132,-0.008725887,9.810925484,1.39E-06,0.000385372,2.45E-06,2.605442047,1.700242232,-4.251192811,20.145178,19.57738777
0,0,1,0.003858155,-103.1987686,-91.54894257,0.001933002,-179.9135284,-0.025722491,-6.10E-05,-5.104402065,0.005207315,9.806885719,-1.04E-06,0.011152095,3.57E-06,2.472935438,1.533634664,-4.437336918,20.26845,16.90629353
0,0,1,0.005178632,-103.5789719,-91.54950714,0.002607861,-179.9134369,-0.183957472,-6.10E-05,-26.70640945,0.000309356,9.727935791,5.72E-08,0.015609259,7.42E-06,2.836571217,2.27816306,-1.042464541,20.506413,2.427210144
0,0,1,0.004873601,-103.5850143,-91.54953003,0.002450809,-179.91362,-0.14553766,-6.10E-05,-0.009841689,0.004987804,9.782678604,-4.94E-07,-0.01292405,-1.38E-06,2.681814432,0.41150275,-0.004615115,20.527674,0.002484576
0.00061556,0,1,0.004019346,-103.5856094,-91.54953003,0.002014103,-179.9136353,-0.062441587,-6.10E-05,-0.02570511,3.31E-05,9.823314667,6.03E-07,-0.006654127,-2.40E-07,2.435932875,0.363172391,-0.003184918,20.551561,0.001247178
0,0,1,0.003724574,-103.5858154,-91.54953003,0.001864986,-179.9136353,-0.034301206,-6.10E-05,-0.040888272,6.32E-05,9.835490227,0,0,0,3.036601067,3.809611778,0,20.55891,0
0,0,1,0.003722433,-103.5858154,-91.54953003,0.001864986,-179.9136353,-0.034301206,-6.10E-05,-0.005873038,1.05E-05,9.809998512,0,0,0,2.607773542,1.474574992,0,20.552504,0
0,0,1,0.003722433,-103.5858154,-91.54953003,0.001864986,-179.9136353,-0.034301206,-6.10E-05,-0.005873038,1.05E-05,9.809998512,0,0,0,2.187308788,1.167037061,0,20.549349,0
